IMAGEN,PRODUCTO,PRECIO,CATEGORIA
51.png,Sal de uvas c/50 sob, $70.00 ,MEDICAMENTOS POPULARES
52.png,Saldeuvas c/10 sob, $80.00 ,MEDICAMENTOS POPULARES
53.png,Saridon c/100 tab, $90.00 ,MEDICAMENTOS POPULARES
54.png,Saridon c/20 tab, $100.00 ,MEDICAMENTOS POPULARES
55.png,Sedalmerck c/200 tab, $40.00 ,MEDICAMENTOS POPULARES
56.png,Sedalmerck max c/24 tab, $50.00 ,MEDICAMENTOS POPULARES
57.png,Sedalmerk max c/48 tab, $70.00 ,MEDICAMENTOS POPULARES
58.png,sedalmerck c/40 tab, $80.00 ,MEDICAMENTOS POPULARES
59.png,Syncol c/24 tab, $90.00 ,MEDICAMENTOS POPULARES
60.png,Tabcin Active c/12 cap, $100.00 ,MEDICAMENTOS POPULARES
61.png,Tabcin Noche c/12 cap, $40.00 ,MEDICAMENTOS POPULARES
62.png,Tabcin eferv c/60 tab , $50.00 ,MEDICAMENTOS POPULARES
63.png,Tabcin 500mg c/60 tab, $70.00 ,MEDICAMENTOS POPULARES
64.png,Tempra 500mg c/20, $80.00 ,MEDICAMENTOS POPULARES
65.png,Tempra inf c/30 tab, $90.00 ,MEDICAMENTOS POPULARES
66.png,Tempra forte c/24 tab, $100.00 ,MEDICAMENTOS POPULARES
67.png,Terramicicina trociscos c/24 tab, $40.00 ,MEDICAMENTOS POPULARES
68.png,Terramicina c/16 cap, $50.00 ,MEDICAMENTOS POPULARES
69.png,Tesalon c/20 perlas, $70.00 ,MEDICAMENTOS POPULARES
70.png,Theraflu Dia c/10 sob, $80.00 ,MEDICAMENTOS POPULARES
71.png,Theraflu Noche c/10 sob, $90.00 ,MEDICAMENTOS POPULARES
72.png,Treda c/20 tab, $100.00 ,MEDICAMENTOS POPULARES
73.png,Treda 20+10, $40.00 ,MEDICAMENTOS POPULARES
74.png,Vikc Vaporub c/12 latas, $50.00 ,MEDICAMENTOS POPULARES
75.png,Vick Pyrena c/12 sob, $70.00 ,MEDICAMENTOS POPULARES
76.png,Xl3  c/8 tab, $80.00 ,MEDICAMENTOS POPULARES
77.png,Xl3 vr c/ 24 tab, $90.00 ,MEDICAMENTOS POPULARES
78.png,Xl3 xtra c/ 12 cap, $100.00 ,MEDICAMENTOS POPULARES
79.png,Vitacilina 16 g, $40.00 ,MEDICAMENTOS POPULARES
80.png,Vitacilina 32 g, $50.00 ,MEDICAMENTOS POPULARES
81.png,Acido borico, $70.00 ,material de curacion
82.png,Agua oxigenada 125 ml c/6, $80.00 ,material de curacion
83.png,Agua oxigenada 250ml, $90.00 ,material de curacion
84.png,Alcohol 96 100ml c/48 pzas, $100.00 ,material de curacion
85.png,Alcohol 96 200ml c/24 pzas, $40.00 ,material de curacion
86.png,Alcohol 96 400ml c/24 pzas, $50.00 ,material de curacion
87.png,alcohol 96 800ml c/12 pzas, $70.00 ,material de curacion
88.png,Algodón 3g quirmex c/100pzas, $80.00 ,material de curacion
89.png,Algodón 10g quirmex c/100pzas, $90.00 ,material de curacion
90.png,Algodon 25g quirmex c/30pzas, $100.00 ,material de curacion
91.png,Algodón 50 g quirmex c/25pzas, $40.00 ,material de curacion
92.png,Azufre c/50 sob, $50.00 ,material de curacion
93.png,Cinta micropore 3M 2.5mm c/12, $70.00 ,material de curacion
94.png,Cinta micropore 3M 1.5mm c/24, $80.00 ,material de curacion
95.png,Cubreboca c/50, $90.00 ,material de curacion
96.png,Curitas c/100, $100.00 ,material de curacion
97.png,Frasco para muestra c/20, $40.00 ,material de curacion
98.png,Gasa 7.5x7.5 c/100, $50.00 ,material de curacion
99.png,Gasa 7.5x7.5 c/100, $70.00 ,material de curacion
100.png,"Guante med,gde c/100", $80.00 ,material de curacion
101.png,Jeringa 3 ml c/100 platipak, $90.00 ,material de curacion
102.png,Jeringa 5 ml c/100 platipak, $100.00 ,material de curacion
103.png,Jeringa 3ml , $40.00 ,material de curacion
104.png,Jeringa 5 ml , $50.00 ,material de curacion
105.png,Jeringa de indulina, $70.00 ,material de curacion
106.png,Merthiolate rojo jaloma, $80.00 ,material de curacion
107.png,Merthilate bco jaloma, $90.00 ,material de curacion
108.png,Oxido de zinc, $100.00 ,material de curacion
109.png,Parche poroso, $40.00 ,material de curacion
110.png,Pomada para labios jaloma c/36, $50.00 ,material de curacion
111.png,Pomada de la campana 19 grs c/20, $70.00 ,material de curacion
112.png,Preservativo prudence vitrolero c/100, $80.00 ,material de curacion
113.png,Preservativo prudence caja c/100, $90.00 ,material de curacion
114.png,Preservativo tum c/100, $100.00 ,material de curacion
115.png,Preservativo Sico rojo c/3, $40.00 ,material de curacion
116.png,Preservativo sico negro, $50.00 ,material de curacion
117.png,Sulfatyazol c/50 sob, $70.00 ,material de curacion
118.png,tela adesiva No1 c/450, $80.00 ,material de curacion
119.png,tela adesiva No2 c/450, $90.00 ,material de curacion
120.png,venda 5cm c/12, $100.00 ,material de curacion
121.png,venda 7.5 cm c/12, $40.00 ,material de curacion
122.png,venda 10 cm c/12, $50.00 ,material de curacion
123.png,venda 15cm c/12, $70.00 ,material de curacion
124.png,venda 20cm c/12, $80.00 ,material de curacion
125.png,venda 30 cm c/12, $90.00 ,material de curacion
126.png,Violeta de genciana jaloma, $100.00 ,material de curacion
127.png,yodo jaloma, $40.00 ,material de curacion
128.png,Electrolit caja c/12 surtido, $50.00 ,MEDICAMENTOS POPULARES
129.png,suerox caja c/12 surtido, $70.00 ,MEDICAMENTOS POPULARES
130.png,Ac. De almendras, $80.00 ,Perfumeria
131.png,Ac.Mennen 100ml, $90.00 ,Perfumeria
132.png,Ac.mennen 50ml, $100.00 ,Perfumeria
133.png,Biberon evenflo 4oz, $40.00 ,Perfumeria
134.png,Biberon evenflo 8oz, $50.00 ,Perfumeria
135.png,Ac. De Ricino, $70.00 ,Perfumeria
136.png,Cepillo colgate c/6 pzas, $80.00 ,Perfumeria
137.png,Cepillo oral B c/6 pzas, $90.00 ,Perfumeria
138.png,Cotonete jaloma c/20 pzas, $100.00 ,Perfumeria
139.png,Cotonete quirmex c/20 pzas, $40.00 ,Perfumeria
140.png,Crema hinds rosa 90ml, $50.00 ,Perfumeria
141.png,Crema hinds Natural 90ml, $70.00 ,Perfumeria
142.png,Crema Ponds 100ml azul, $80.00 ,Perfumeria
143.png,Crema Ponds 100ml roza, $90.00 ,Perfumeria
144.png,Glicerina, $100.00 ,Perfumeria
145.png,Mamila evenflo con 36 pzas, $40.00 ,Perfumeria
146.png,Crema nivea c/10pzs, $50.00 ,Perfumeria
147.png,Talco mennen 100g azul, $70.00 ,Perfumeria
148.png,Talco mennen 100g rosa, $80.00 ,Perfumeria
149.png,Talco Mexsana, $90.00 ,Perfumeria
150.png,Talco Odolex gde 300G, $100.00 ,Perfumeria
151.png,Talco Odolex gde 150G, $40.00 ,Perfumeria
152.png,Rexona 100g, $50.00 ,Perfumeria
153.png,Toallitas humedas kleenbebe c/90, $70.00 ,Perfumeria
154.png,Toallas saba exb c/30, $80.00 ,Perfumeria
155.png,Head & shoulder c/24 sob, $90.00 ,Perfumeria
156.png,Shampoo pantene c/24 sob, $100.00 ,Perfumeria
157.png,Shampoo palmolive c/24 sob, $40.00 ,Perfumeria
158.png,Toallitas humedas soft c/80, $50.00 ,Perfumeria
159.png,Brillantina palmolive 115ml, $70.00 ,Perfumeria
160.png,Brillantina palmolive 52ml, $80.00 ,Perfumeria
161.png,Permachap rastrillo c/24, $90.00 ,Miscelaneos
162.png,Guillet rastrillo c/24, $100.00 ,Miscelaneos
163.png,Guillet rastrillo c/12, $40.00 ,Miscelaneos
164.png,Tokai rastrillo c/24, $50.00 ,Miscelaneos
165.png,Encendedor tokai c/25, $70.00 ,Miscelaneos
166.png,Encendedor tokai mini c/16, $80.00 ,Miscelaneos
167.png,Microdyn c/12, $90.00 ,Miscelaneos
168.png,Pila Panasonic AA c/12 , $100.00 ,Miscelaneos
169.png,Pila Panasonic AAA c/12 , $40.00 ,Miscelaneos
170.png,Pila duracell AA c /6, $50.00 ,Miscelaneos
171.png,Pila duracell AAA  c /6, $70.00 ,Miscelaneos
172.png,Encendedor Bic gde, $80.00 ,Miscelaneos
173.png,Encendedor mini Bic, $90.00 ,Miscelaneos
174.png,Corta Try uñas chico c/12, $100.00 ,Miscelaneos
175.png,Corta Try uñas mediano c/12, $40.00 ,Miscelaneos
176.png,Corta Try uñas  grande, $50.00 ,Miscelaneos
177.png,Pila tectron AA, $70.00 ,Miscelaneos
178.png,Pila tectron AAA, $80.00 ,Miscelaneos
179.png,Kolaloka gota c/10, $90.00 ,Miscelaneos
180.png,Kolaloka goterito c/10, $100.00 ,Miscelaneos
181.png,Kolaloka brocha c/8, $40.00 ,Miscelaneos
182.png,Plastiloka c/10, $50.00 ,Miscelaneos
183.png,Foco maxilub c/10, $70.00 ,Miscelaneos
184.png,Foco let c/10, $80.00 ,Miscelaneos
185.png,Foco alefco 60W, $90.00 ,Miscelaneos
,,,
,,,
,,,
,,,
,,,
,,,
,,,
